HAUS,ANLAGE,ABLEINH,TOUR,ME_MA_ID,CITY1,CITY2,HOUSE_NUM1,POST_CODE1,EQUNR,ENTSCHEIDUNG,REGEL
"aBhhiTcPURylUsPPpLzxUfcAODWTeRnWJmHRBZH","ATMhlWmZldMGHRmoFiDHJdYPV+YSiYl+QPOTTZF","J09B1612","J09B_J","WjTImkwNPQUYkYZQLjczCtEOUFlcpxSwYtgIpCy","Hagen","Boele","36","58093","XxiunuZVxVFgGnUHbXRAhiOpjeOgAUpVRzZIKgu","EVU","Standard nach Anzahl Stromzähler"
"MIzRLUqYTTQQLXwHrGtOQXfbVUC+jKWaZfjgAKm","SDROy+xaXDEYaanTHXIXgLdBsajxtcSB+VQYHTf","J09B1531","J09B_J","QvRfxZyPSnUixlKQXHXmPoUfsVNTIkWUjqQYYwp","Hagen","Ischeland","114","58097","l/WvPsximZuFYm/gDuRETyHHuwaeUeCiSVVXKSV","EVU","Standard nach Anzahl Stromzähler"
"ZYXDhiSVSEry/KSTZH+qLZyAJOeToKZnQHSYZYc","kURVwHCTJBTWUalObcXH+ORGPVFnOpsXuQX/SSQ","J09B6205","J09B","XtjepRZfXxWGZxZJtJvWa+yxEWXYJYVrRqIaNWF","Plettenberg","Plettenberg I","19","58840","lSGn+aRWHDdlQcXSnUIPVMfoZFlYmTWfvAVbMGW","EVU","Standard nach Anzahl Stromzähler"
"WQqrifZAWEtWCrXriFlMtjctBcnAZosDoxZwKCW","ZTDtOcWlTrnUV/AELR/QRD/emELWlyOewYikjJI","J09B6252","J09B","fEqiGFsyBuwcVQdjp/CQoKSi/MZHSdAiSsQY/Sj","Plettenberg","Bremcke","45","58840","zPoTTsRqvWhmMVOCYixiEQcvtsoIvGjpBzTWFKX","KSA","Standard nach Anzahl Stromzähler"
"CjqRaR/hSMbRsUgVICGncrlvMTq/hVQXRePOuGG","FUqUFYRPzAwCuNekTFAbpxkMWlUzFofWwsUTypk","J09B1521","J09B_J","uO+ZhSlDFvcvHYwSsvgUEufuR+jCwriYGazDOSS","Hagen","Altenhagen","3","58097","C/jRGcbKLuwCEsMAXplQbJhvVTtYuVzsAiWkPZq","EVU","Standard nach Anzahl Stromzähler"
"dyaznEvuUXfVlRoAOtJxHfyYOTlVXy/DuNRStWv","ZcwgQYv+KRwMWZ+yZnkUGSawTFoLDVsCTtBHQgr","J09B1612","J09B_J","grCIIlJlzSQVqNUBTdCrMdusYSrlLSYCEUrUgSW","Hagen","Fley","24","58093","WUedFdHUXbtZgTdIzOMZSPvSuUFYcrnMKOxUzbn","EVU","Standard nach Anzahl Stromzähler"
"InQYcRzRkRorkZQIZrAYWYOIjwJuqaOjMCnCFRx","hUrdUWZzMVrPUjicUSNQdcohVBEZorRYwn/VMOr","J09B4011","J09B_L","DsmR+Xl/bAOhuioTYRhzvxsgybOApSXCUFCfLRF","Lüdenscheid","Lüdenscheid","89","58507","vjGXlOoJoxVRLJiRTGQGWppjcYhCRIsgTKbbsmZ","EVU","Standard nach Anzahl Stromzähler"
"XVTeHXKmWHZstdMmiHxufzHoEjYsrIfDHtAPeVR","OQRVhXyzoRIdfYnJYqbafHXDWosSWtYWdWaoNUf","J09B1701","J09B_J","WIAaLLuKUlNw+BcdsGQXBkPqGPXTRwUNiZHTGpo","Hagen","Vorhalle","8","58089","pTVhszVWJnQVgJTGdQUNiVeDTWdlzwBAPlXYuzM","KSA","Standard nach Anzahl Stromzähler"
"WtXXJCSskYTzToYBTXRuNuMLyITWnLTTRHEUUJh","qQLETSEaQXMgQKSNxWLUBunRkUXqURDGAeNpOOr","J09B1531","J09B_J","bcjyoazDlQ+NofRVpygbL/nShp+lyXSJQQEHVVS","Hagen","Altenhagen","12","58097","NBaPCyKrwoLpstyLubBea/mcuXThQRRmoRwndAB","KSA","Standard nach Anzahl Stromzähler"
"GUQTYJvYAZsHwtXVKylAAcNYZPM+rBbhVaMZvYW","JbUCQZ+TZawpdEpcnuPjhjqW+GCbiHjnZpSGUvU","J09B1701","J09B_J","UGHfezTsiHYrUSkLNWNCIdSqOvGUShHXfjFnwVX","Hagen","Vorhalle","3","58089","M+dcuRVYWQSqXyIxoIJXURbzQrqzDNYRDgPhjRA","EVU","Standard nach Anzahl Stromzähler"
"AKqfBDRBRPVuQZiUqnMVjzTMVZZlTTJggobRZto","mccNMRRYghTLtqvDlFHxZFGsq+fTzQeSaVeRsHb","J09B1611","J09B_J","lYTAnxNokqGXLlqbfpRWNU++alhYxE/f/fdniAC","Hagen","Boele","63","58099","QKpNURwXGCWcpiDhChXaUvgtopQuWZEZSqpWPcu","EVU","Standard nach Anzahl Stromzähler"
