Installation,Installation type,Record created on,Object changed on,SPARTE_TEXT,AKLASSE,AKLASSE_TEXT,TARIFTYP,TARIFTYP_TEXT,BRANCHE,BRANCHE_TEXT,ABLEINH,ME_MA_ID,HAUS
"zGRJFGJJj+vAlvCdoXUhhZQiZnIlpukdYATPZWu","WAEP",2022-04-22T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5482","lLIqRjizSXUZnYtUseFrsmTMTw/VXRdwmokYCUm","fSWPUYFCjRzF+PkFxCGSGbSFoJcpHidpBWqjqiv"
"COeOeHMSN+imHyLnxdeYkCedRwZVr+JSgFIFVHa","WAEP",2022-04-22T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5482","dKxoQTuWydQvXAmBSUYfHp+FEWGYQDeynTUwsWE","WkdWdSmVuSC/mTCSmWqwLuxjBnhyxNIfUyiCXLo"
"zTZshnqxnnDcXVuWZZdnUUriqSXRO+WHgiTorPT","HAUS",2022-09-23T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6505","EiJ+YMUgVRifOyiLTdjwXIoC/dohSKYesPTRMGV","VQ+IjfNRocZffnuWUMAXajkRTMhLFiCLbADUrDR"
"bUVluXObTzTpJvXGGSknwKqsd+pMF+o/CZfHLns","WAEP",2022-09-30T00:00:00,2023-09-14T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6105","YEjmYRfvOoRABXoKcIzJMUhyhLbIdbVgSxRkFYK","nWsCUceUgwhItU/ZjcgRvYQmOwHNNPrfQx+iVK+"
"KwaXbdXRVywNWgxZVTZn+YSarjTijqZX+jEwRxl","HAUS",2020-01-24T00:00:00,2021-04-20T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5481","TpB/bZQM/WgYFVTFYzooNTIPQ+ZSSqdrsWHfijQ","hXUzkYBgRIBteLXllZotqFxD/AWeezT/TUYLQZG"
"PHjQMe+iZEOYVTzVnMGAWTChYX/BxTRCDWBxiDT","HAUS",2020-04-08T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6504","xrGYeZR/UwBboTvtSdOjlS/fEYyGVyZWpfFaSQP","G/VS+RItR/pIUjTBvq/nVlZgZNXQmWMyKIdVuCu"
"hTfKFfXcebQYSvUwtyQVALTSpnQXvsXUwlUCXAh","HAUS",2020-04-08T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1622","zgFMgeFyEXBwQYaCxNmRfYLhThXqWFClGmwF+bo","M+IsWIYURKHjTFaQAVeRZgvYqxqzTVMTwTBEU/W"
"T+XZiqjlhVKRfTtPYOSmQlIsckHG+wAJZXXoYaA","HAUS",2020-04-08T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1622","LRQPtOokwF+QvtT+WSZUUABnKyChXCTRXUJgHkA","M+IsWIYURKHjTFaQAVeRZgvYqxqzTVMTwTBEU/W"
"bsvRoAcXTMQXqCYZRhZIeIujSHSMVygMOi/OpCq","HAUS",2020-07-16T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5083","BVJTORDFEYYVJgmRTTpgWZMoFompbrFUdgmONWu","diQwGQRVjVCBSufShNwOBmaZb+wxjVUZnWZhHWt"
"YQ/QWP+qZufSeX+GEQAaIhM/JgPouKoGlfmTAoW","HAUS",2020-01-24T00:00:00,2023-12-28T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1622","WvUQlwVZsqlwhjpTxycbZUETaWed/UHjZLeJXQI","hNFxcVwAZWVdneUWouvITUbbEqloHApRSdbLgoW"
"ZMshTnYcwClYaXT+ycKIzZnVMT+iA/jDCKMxXwp","HEIZ",2020-01-24T00:00:00,2023-12-28T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C1622","LSVNraKTOIVkBWlU/bJGsTCcNAISptNVbDZXIXm","RohVVAyUfrhtqZyBFHcLtOoSNKrUhsMUilXUfEB"
"GNBSofxQhaxadnCCdGmWfBWInfxKiywjOvxnuYA","HAUS",2020-01-24T00:00:00,2022-01-24T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6106","dUZWnPAYYtEFUOVImGQTPQtJBTATgVDQZapReMb","mUaPEDtgSda/VtGjYKhTdZMsNVZXhzncfDoHwCf"
"epWEiUUDswWpquNMfiCrQABqWZwwHRZvolFKxol","HAUS",2020-01-24T00:00:00,2023-12-28T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1621","IXSQEQsGWHuWmvSEMYZDYZh+nEqZRpbYn+zHTnT","jzXYmXacAXx/BSvKtN+vqYYVABWcdVEiKjjEfYY"
"nGcNFIadJvBTXSTnpzPQPWGGqvMrYXBltsdCHGX","HAUS",2020-01-24T00:00:00,2022-12-06T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1631","g+AaRSfmOHVdVcdYUdsRXpvuXTpDlUqRLIROjgY","PGcNvKwZHARWHjavPXgQRJSycQdiYcQyZpDUdYQ"
"SaoZ+OQoKKKdB/IdBScgYYDNOGQuSNCCdTBhEWl","WAEP",2020-01-24T00:00:00,2025-11-10T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5485","IkXtPCsStENRKjMLiqVXCVRgWSuSTJGtWHUQSJ/","IuqjUg/RQpORRGeFdYwQwCyCtXWvNMS+FRxgcxZ"
"XUmL/wzSDRUHIZOiEbpWEFUEmLuZVRtI+BiZr+y","GEWE",2020-01-24T00:00:00,2025-11-17T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","NNA","Gesundheits-, Veterinär- und Sozialwesen","J09C4011","RtvERQEZjz+YLi+UeGQMvSTZMSrzrVBZlgkpeYb","RbWMVCqfCkP+LMrKlcWzOVKeZkyNdWXNRtcF/QZ"
"Ng/XHWbZTdTyyKOgtInthsFmSTlLiqbgEqQNqiN","WAEP",2020-01-24T00:00:00,2025-11-17T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA","Private Haushalte","J09C4011","zVZQUZyTGaONIFngATo+ReRWJXG/QtPRB+RqVZC","WYQJDJI+msxwaOCcZYLbBJfVDgMOWEPWuHvavil"
"LaRDfWXvx/OtEqhJRvopUgXKZcWpapSWgwVBRAh","WAEP",2023-09-05T00:00:00,2023-09-06T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5482","WJYeGNpwUJQoqjSgQkWKpkShEXir/lXEGpdAXJR","rQkYRZGIKovJVRikEyYTyjXILxCZHEkpjEwOlnZ"
"WCAFzTyKCJp/SsWUqrMpJTXVr+LNBsHxsXFQpjd","HAUS",2023-10-04T00:00:00,2024-07-18T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5482","Sca/tJYrUqpcfznlOPsdJpRMwaDSQjCLRkyUoKX","/RTJDUselhnkbFwThcX/yNVBjyhrjXnZyovhEEF"
"Mm+XSCZ/SoOoAgSESAfmQTasPYdxilTSkQ+H+Uh","GEWE",2024-01-08T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C1622","FKpRxclcXuZZsQzhTfyktoiwVYGUBQRWJeJeWSX","wl/gTPRbxhkXYkZtWUWZKnHxBtVCbpSrxWI/pRH"
"WfkQXCuUQVXHJoHTtQAOfGWRUAOCGOVQxtsZzmP","HAUS",2024-08-20T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","JIHbpxHtLCNmPlZVBUTRPmzgxFDiTosyIYVe+Vk","Qg/brpHn+jRQXlbi/tGQq+xjSOpvLBoorAmoQQ/"
"dOuI/OXT/c+gmTjQ/fBqlCOIhdmIasXGSJrwbsj","HAUS",2024-08-20T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 953","Gemeinschaftseinrichtungen in Mehrfamili","J09C6506","oBAGWcDPSFLPVEfYapJXYrsXNWUNYObNZVWNVKl","eZnvROlcXRKTgLUVXjiwXVajyOtMFDQSECklLGa"
"VWcQqbQNZXkSHaExHjRlJqWLQCYojXaIXGTGrJX","ALLG",2024-10-01T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 953","Gemeinschaftseinrichtungen in Mehrfamili","J09C6105","pVzwxEDwjVo/YVEZTayS/aTWDoTJWxjVSJOfEAe","cdWgLTYWDSPSXuOvPQZLQVKCwNVliAKZDiHXjNN"
"jScIUWOwRnAUYOUNxBQZI+FnfRzdgVBjTVSozBS","WAEP",2020-01-24T00:00:00,2025-05-22T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5484","VSCjhCItK+PyJokVUlqxxswRYNNyMkkjdLksPyY","gFRTkXAGxZaEHlUQZqaCYpvFRzfTqfKISsb/RYM"
"XmlBVt/xtPvcQfnbPNQgXSvGUZSLDTbCgQ+hzJb",,2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA","Private Haushalte","J09C4011","dUVzJZgZKRCnRwPmUoUTRntzSwttYM+cZotV/cL","CxoWoKuYiXThGdTEKkwCjWjJEoJbGeoJsdWiXKA"
"Si/Fi++eTkjVPeVqMRLPpYY+Qk+B/bmQSPYStDZ","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1622","QLPSlGobdMbOJmNISzcAmJCinJrDtsbRCnwkNVk","RfZjzWxlNCXWqkyaMhUaiZAuSSNWyVgskgZeNZK"
"SgtGjomTRSaDVztlCxeJKGdhVUSIUUhUbQCmFUl","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6106","ZDZVYqmWwXYQcQXPXWscljWjWPuRcueSWfeJvKz","vvwqWCkxYJTfpIMDaUKZqbYeSiwshrodWy/dwEu"
"pPJZzREmbCwfbVcrVScaOTkfqpPOVBTwSYJQUOd","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6106","sAkabYStVTnXDVmkQPxTJlUMwXMQNnmYEjQsTgz","nfGwbbkLVlrhMrSpvgYNMyOZjyZSnWXhofZZwoo"
"wXSFRZVBa+DqzJMJPrxEZlp+psASwWxJbPrUZeW","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6103","CKkIZhXzRbRbRxyY/dYcyoZfSLjTXjGQLkUzQnX","YbIRrYEfWlSWHmURYkmYtxXSdLMlVstqmxZ+nto"
"MDZelGOpqpAppKVQvqwFuRyFMqpiBSBVgEeIyvP","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1631","KnrW++kvBywuNBsqNaSdNWLpHnUjRhKFkZszjZW","WWluTMETpzMpEhJkWLFXpSEHrky+IdcjUqrbVUW"
"vaZZd+tIjGoPnDfZoTmUUgzGZTJkcOzaNUyPtoY",,2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA","Private Haushalte","J09C4011","TYnAfRCwKX+UgVuqjOSjXWUSaIAFrUJgXYooQVe","PblcaAwUjqZgCBTKaRUNVLUS/tjm/uo+EGRpk//"
"PTW/YNUmJE+isrMyUFNNRBEtSUQZRzdwftaUavZ","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6102","sUBbEHxQOPWHGuzxWUCeFWCKAXgToROZhCfSuVZ","vopOKFqsVLSTfjoVTPnWHs+mJAw/FcUIHXdWftm"
"wTdsvtVQMYmH/urXA/ZzPuCmXUipFxbKz/WNVXk","HEIZ",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 953","Gemeinschaftseinrichtungen in Mehrfamili","J09C6106","/TSTHZJLswkcQRmhsVZPMYp+eMJqorUWKWZWdRz","LWVpcDPCybYRbSipEgbkkyFUxVZedGm+UmmsAaR"
"eCtxZXTCiwnFoceRrUIQznepggqeTEXZshiNERL","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C3401","EaYTEACYJv+rUVDzfKfywHyAGOslMESEk+Ktxrx","xEQNuEqWRGsM+fDRqfZxXi+WGRBSwNYYWPabRmW"
"CRyvZUWFFylck/ku/zUZnUDPKrHoYoj/NBYitRf","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C3401","lRYKtswRXZSogjQBROpBtVKpHrAUGQVyhagQARn","HkgQadskioUzVPUYZJ/VileMsdicNdiUduSaxmL"
"bEacDuvA/RdVtqAdCQLWaLujSfu+zAZQGbhBkNU","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 952","Private Haushalte in Mehrfamilienhäusern","J09C1622","SQscftVKUnqiJvdkWrgxKGKIxTCEUaTHuhYLXnZ","IMWhVnYQUV+iYKbRCwxuojMUAfTuXhhqhMgcZpj"
"ngxoVQOScYOArdQPvevGyHvWLcPXmWeRUtrXToN","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","YcevFPbhKTVDtKytT/WjhIYGGhkwBuvS/FyD+Qz","qysYQrzHSbLSXgLV/buuQmbweQFEcpBij+prDEA"
"ITKUTuTjTewvgKhFbUJAIMNXkV/QEfvCsXCJEOd","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 959","Werksangehörige","J09C1622","ZKUvXaLeURrEHVWhbRRoVNMdvskKNTVLJDSnZka","eBWO/fBMWnfKQWEbYcSFGhHwdXUTSZgLjEZQrWK"
"heTwmzRiOsUIQbqPCZFFLxxoGgyFnVlPfQMVCtC","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C3401","ttXILzQaSlgLYvSWDqnOeFhFmCfsZMoZOEItVZc","rRGgGHWaUNVtTkImYiOEVvCPSVTtRdTTTTuonWQ"
"OSJWgE/KqVe+JrFZgFvnBhavr+QqLUxIxqWQUVl","HEIZ",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6103","vAqEXgtTHxwJQWQIWTegOesYVixUfXzFZAuWCyI","YbIRrYEfWlSWHmURYkmYtxXSdLMlVstqmxZ+nto"
"xWAxoFuQQcIVQmvTdywrvWibSNJMERcOkVps+/t","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6106","JOwjMIMBRkUTkZZRVMoNEQYAnrTKt/RESZvfVud","dYRatPjxGxJvUjruQWLSRanU/CGnSQYQlNGYBGQ"
"iuFnVQYoKxZrWxYILRGKuiZhSZcbaLqYXWpIrTU","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","OOA 926","Sport","J09C3401","FEUxPmSUVQHlNbQQWwIGvogfBFPMHsJZbgzAXHr","cTmkfSVbYRORpDTZRYgkhhpMrMZeQSdIINliWov"
"/SzJwj/bZmPEZbIJSfrcRGNXbng/RWptuTVTBaq","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1622","IzMOSbolPTsHMLIRcASHkhCzPbRotFusL+muzeH","fgUTIUVXmIrzNklaAXjQZwCErRlXSDrwKHgCKdq"
"obVIWTwIEhj+XTWqoknVJ+VJAsFBbjRZNotUZpc","HAUS",2020-01-24T00:00:00,2020-06-05T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C4011","sQcYujqGwYJHPFGovNqIQWMBPH/qDsGJcsrEHsa","QVTWHcGKeVQFfdSyOwPJTbSsTgQhzsPHkZAGbxC"
"DUmedtdIqXl/UYcGWTTXsaovtLTIYQyVAYxoYTq",,2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA","Private Haushalte","J09C4011","ZPWQQqSOplqULE+viXvSzUW+VOLzeAbeFZEFvTS","AzxMbEWnsocilMSussvSxTCqcDLnUC+YKfFOrLU"
"qKNl+OJjrvRXDPTFKYhryhNvCRzdhXgANaGqlRe","WAEP",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 953","Gemeinschaftseinrichtungen in Mehrfamili","J09C5485","EbIBlOweRGghKUoxKprQWxEjyWkIFpJ+PJVZZWX","cWsRQCRKpbghkXZZVTSbxWPCWsdZQDsVFXYwSO+"
"jPdVz+pkJnwWvHaTNieaEYjnchawSvEj/ZZYtho","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5485","ZYSORwUGpFeoYJVPLgURhOKeRRWVHbWXYNxHWaB","jeTiULNQTwtIVzXIVpTEGGQbTHuNvRHFQDmeZuM"
"RvaUVcgDkpwUUuLTvXRCKhKbTUykFoQZKYywAdU",,2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA","Private Haushalte","J09C4011","sXPTgUpzEqdBpmtuJxFjsGQS/NVrRJTIjVbYWlS","sSaNKTcXVYSYsiA+CmfmzWSaiUBEcJaXcROAvmz"
"bRUYYhqnty/ygZzgTZwYmkvXVOSxVMHWBXIEKjq",,2020-01-24T00:00:00,2020-05-05T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA","Private Haushalte","J09C4011","bVuJaKWhsanHymFQnfSVDojwTWtWMZHXJzVZizA","CORxXbRVAQNcfdsjZsXmOmdRUyobWUwtpgcyaQJ"
"R/FSUC+OFjPw/B+M/TUDXYOLORkEEkrXwSgJNnG","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6106","RINYrSfatgjDaWXtdyoBOBMVpqnVOmIeaLBIgdk","lKAlTnAltRYYlCVgIbRGrpTulLuroRpQV+QQOfB"
"cOEiRBaYZbQEMgQMkoajeguQkUOnqcjVQLawncT","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1622","eiobQkCvYsqKyTTiRREaTQfabPqfbUQcWTcictb","IMWhVnYQUV+iYKbRCwxuojMUAfTuXhhqhMgcZpj"
"WHWLfsrFGTXdgUj+VJVvBrwWnYilYXkEuotQlRz","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C1622","XpaqYUHztUzOqtgWUmnzLroYaSVY/W+UvzQRRQE","RohVVAyUfrhtqZyBFHcLtOoSNKrUhsMUilXUfEB"
"paiwSnQSQvYohYeRjgLAS+UWXhDgyoNtcRYRMZn","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5081","vZOmfnDEaW/DLYHWedcNYFnQyRWc/uSz/VlfOSC","MZscKaP/VBIZTw+lTVaahOgDxWTVceSUZQWDavQ"
"OvSATfStiWqSWpdhaAtpWCoufQIoUSITZYehfyR","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C3401","hpOXQjRpFdSBvgtGZyQAQRXHArnrzOkZl/ybBzG","ztpEHSi+zh/xqJQqYyKDYmhQMNkdiEZoddpHTFl"
"RSSvSsAGvRVKUwsKpchTXYa+PjIXixZQqP/LvjL","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C3401","GSbeugbtZqzTYGYwUvKbkOWgWWU/XLfZDqLTyis","qZVRSTEZRVP/GBTpuRNTIzNjRVLWTblVVmFkQWz"
"fQXWjsREvQOgWjZNXImZVIJFaNUIAbBcJlVSoYn","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C1631","VwgsMGVYjBosQBgxPzjLPAVdSN/SxeIWGHfZyRm","WRXg++RRbbLpfZkJyGzPCVUpXWCiofjnWAHfsNU"
"ZNRYTzdGxJpDmZKjRzGHDVZTtGeaPIdVJpXBaTq","HAUS",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09C3401","RKuTvCVlTlQjrroHOVzZthcKTdUqzBxVFksnoSI","SvrU/UoUhlDuS+SWpTxVTOqxMEPVnraXEgQNUF/"
"iHxLXYUcpYzYRRHvvwLnBwvZryvXeaa/GzW/vZq",,2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA","Private Haushalte","J09C4011","QIQGFPQHlEmUZoiEnKiLuZluasRWUV+StRLYVNS","RsRlbfqjcKoPHZOBXnzgGT/hUMesUUlZWHIhLdL"
"XTLVGgZCMEiESOJuQHJWIgImfeGLeipRNWvvl/o",,2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA","Private Haushalte","J09C4011","UmOEWVmrSHyTSZWfY+lmYcSoyfqV+/s/XxYJHQA","YqvA+UTzMcrizZauIsvEHmoUSTJDYzBEYiWlYfP"
"UctVntZOrRmqEAJuwVmfRpbrTGeRHNZMmiJVPaN","WAEP",2020-01-24T00:00:00,2020-01-25T00:00:00,"Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C1631","EbCQLEbvZCXPVLUtAzuhSjiTFMSZNU/lbOZWTyT","brlCZZEnqhfskwKXzAiTVcNBTtRBWE/VXZJrYaH"
