Installation,Installation type,Record created on,Object changed on,SPARTE_TEXT,AKLASSE,AKLASSE_TEXT,TARIFTYP,TARIFTYP_TEXT,BRANCHE,BRANCHE_TEXT,ABLEINH,ME_MA_ID,HAUS
"dpVES/sPQOSUAdWAnLEWVj+eSFhTMSRwAAEHNkC","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6503","VTFQvUZSTcTTMpcxSYcqdcX/bBZTpBeZdQnjjxm","RHUCEldfQUYoRQnFPxXlHTOpzUqVstuZQRqPlYO"
"'+YzdQXOVgGwQXZ+RIUjanYTRqxDYY+FCZfisPCR","1018",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5484","oSTWZEWeMUxSY/TUlorLVWUWQjtWPZiVLSCYZVj","BIKpzPCYjAkn+rJUpSWvRFdJAQizUEINyQcVVpZ"
"AjbsTVFZ+hnaWucKfolSAPBWTgOOqrTcywbQRud","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6503","QrZlvwPgnqeXXNQPUpZLIhTdvITTVegelsomsGQ","FwzO+vYCqwGmQCFMcLRMhRbaTjZIhhpDUaITgZt"
"DyTvDpKAnFgRXrmcR+RtFgIrfZqbiYuFJJ+IiFO","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5485","SXjZPAlTRjzpFSVWodU+XGUQBzvCqMmXbFhBvSS","WHXKsOAjvkO+JWzqiOujFRWvSwmbhlpEV+/Mmsp"
"CqXmEzwFAQZWyquKpk/yVzaQYGSuWSQNogXjwrC","1114",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","GGA 505","Tankstellen","J09C1621","RoD/naepZDRQYlMkLvvYTUYscGYrMpAQNUNbwPZ","YAKkQbxmSiqQBVikGVVdSxYF+ZYShXHxvuZEflx"
"EBUUsH+ZZMsOhZoY+JFVaRWxKFSACqXrCnLOXmb","ALLG",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 953","Gemeinschaftseinrichtungen in Mehrfamili","J09C6504","RiGbUEBRoMr+NcuJvoeJrGVGXzbXs/L+tIQPdWy","TGv/QvJskBwDPYXymeNeZiQuqvKufpYIBlQOpXI"
"Fpo+ZYdpLIwPRhvKlYLPZuslJRKNOjgGntyk/yW","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6101","TNSegRtpixhupSYErnYbVmFMSVkAVfcpirUThyY","yAXwnPYjVSYxIQApyaYUNqMxSRGXtGBTZYgwcHR"
"WWgDKPARXctQVpikOmStdcfULdlroXZODDWGTix","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6102","jgkWVEVV/XrTBYXeDBhFeTSZQBrvVZJAAFMmXlG","dfaSusaRDsXYZUQdoqeYSYaenVuYrytWBv+VpaU"
"wSGQqSxdBkXaXYHcPPQzfKFFQWjswHxTyfL/TOP","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6102","lxNKHVPxjRjcHSBGazFLDdVWhbMZtndrjuSQQRU","sRXUdwDpMdwZTRkoRNQcRQBaskUuUJXZwDsvoWc"
"QjSkuUOLbHzJYsPTIJUqRxgyrvlkSvPgpbSVDqg","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C5081","vYyWMWPmJIVeQWRfpLuWYVFUZMZZbrfoLgZOeUS","bPXERgHwTrTsjLZTtHkfUtEUSGISZiCOYXQHRdh"
"HHzkYUqQzRpMHztG/XhQPTyYqUGCRJxbFzXR/SO","HAUS",2020-01-24T00:00:00,,"Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09C6103","RwUyuNWQVXkuCDXuDoKpBCyBnNpQSXFACtPcnqS","zFcxEQTkKyiTOLitxVVMnjVqTgjYP+DqoBiJuy+"
