HAUS,ANLAGE,ABLEINH,TOUR,ME_MA_ID,CITY1,CITY2,HOUSE_NUM1,POST_CODE1,EQUNR,ENTSCHEIDUNG,REGEL
"VzwcAKdaDewIqwGGSS/dJLfxHKFiXBepKDpaTUu","uNctYbWQJIvWjIoU/+CAFYXhtiOSZPhbXDZNoYe","J09D4011","J09D_L","'+k+eBietwgOJyVaftdNRVQrDsWVUSYpRZ/ESJnU","Lüdenscheid",,"155","58515","qmjRCQRGBSRs+tStlZRUIxhoVCSQzNtZNIZiSWZ","EVU","Standard nach Anzahl Stromzähler"
"/bmOhYDsXuYTYiZQfWROlIATUcmSOfRGRqtoCfU","sXeTzQnERVZvskxwFTTdfckHbyH/DVpWVTrQizU","J09D3012","J09D_J","bjqmWgyHQfh/KIuclUwWRSUEMDCGWPbSletYKkD","Hagen","Hohenlimburg","32","58119","YSFIReSERZR/wPHOXUeTTpkVhOYKitYeWiimXIo","EVU","Standard nach Anzahl Stromzähler"
"YIKzzijEPZJGSeijNRoGiSXjQELZBspFiJsirkv","jZVRFitTXnilRMzl+gVYurUqkdhJOYXiSIltekG","J09D3301","J09D_J","CNWlPRpiCldUkgV/WSZQzpCDJ+QhOEVAhZtpDN/","Hagen","Garenfeld","33","58099","JG/dXieiYFbaosTtVSWmqfHLVSOpeovkJmCrWQU","KSA","Standard nach Anzahl Stromzähler"
"RTjBXmPWxgIHrXGVgYdBUWxDCTUTVc+gmhaJkGQ","vIgsNwRbczSzp/AxRgSoUTdnNGqTLgNUbBKShBS","J09D3011","J09D_J","AWUQbXQmJLqZYKb/IkrWkvuS/nTNaWUiPBXfETI","Hagen","Hohenlimburg","35","58119","rBHIrJKOUamY/uKk/mdNTQmMevWXBdYCDzZxElP","EVU","Standard nach Anzahl Stromzähler"
"jPKbOkyOeVjjCuhxfozRaTCLUcVUXWbPVQCSFER","Wg+BTVCyYIZXSwBBwYdfDMTeNoCRRFdSLAxnTXy","J09D3301","J09D_J","Xf/LRlSRUVgsXBViOPcVdQpbUEmwIW/zLyObQSy","Hagen","Garenfeld","4","58099","RvDTihimsjAjoWf/EXQGNigHQyYTXAQEtXdylbK","KSA","Standard nach Anzahl Stromzähler"
"iUzbAXRxWsVjLrrjvOTGYYIXSppZiQdllrIVQxf","IEheFZYsXuzEVdjPKBQtY+b/cTWQprs/rhdRQKW","J09D6241","J09D","bjrUcqzHxfLDZeMxzGWWYVXZYaKDPjHhJaJlpV+","Plettenberg","Plettenberg I","134","58840","RdZShZSmMBfjoPQPQgRsUAYGoUdPQOkGybTjzWb","EVU","Standard nach Anzahl Stromzähler"
"XZwTVFHANSpTiuJmhW+mVeFfBUgWrEuKXqMroEH","aFweeWVvZT+dIgHgpiqTgQZrpZsRRxtBrwJSjSU","J09D1221","J09D_J","DUToNNIRqNrSRYG+fx/mPDxpPFFzWgvWGSUXjWH","Hagen","Nimmer","2","58091","mfcash/YWZXqcieXATSnSbUWmPowMXZfX+OpAZU","KSA","Standard nach Anzahl Stromzähler"
"CVlVsFmRUbVpYTdgZTOREQh+HLXIQVFTLaRTVNX","gtyCgtWYjxpWApDhXYSjZleEGnDQ/SZRDQovTUV","J09D3013","J09D_J","ecVTTVVYPPCeYPYGe+VeWZcEXEOXYn+YZSYZWnW","Hagen","Hohenlimburg","33","58119","zsSOGXpiSOyZRatZXWhQyExcxDAqCFzeCVOQcZY","EVU","Standard nach Anzahl Stromzähler"
"ugVQfRMQzvSQZHAMNSRAlcIuGXkWEuCIQMkaKLc","mLWxxjKLSIQyysZXQuUlmXZThWlLwo+YVCdYTuO","J09D4011","J09D_L","cRRDafUuUeRJHpjUo/+ChLfAsaLdzNYstWtRuhP","Lüdenscheid",,"8","58509","lq/+zgQWDLDsrSRVyaiciWiQRZjLCshJOpdhlHc","KSA","Standard nach Anzahl Stromzähler"
"wsWgZSDQcgEZPVPCUBmbVVXGxN/SUaaySZDsLg/","AGJjVuVypJlAQYBZioWUriGDQHIZORWPAYsDHCN","J09D6243","J09D","YpKwJLnIhNORBCNfePmSQJySwSLpbXV+TrCkiUu","Plettenberg","Holthausen","34","58840","fBrFTUrKrzfxqpylSgDQSHjeUQCOggzXXTXLRDV","KSA","Standard nach Anzahl Stromzähler"
"sXIVlOCnEmBxLnvGEySOkqSCRqYtRfQyHNtdvQG","dSPBTFpgclFJNuROSZYNSNAYAPkjsPrycdHxSXU","J09D1221","J09D_J","DUUfcTSSmTYWfBLYHwpoqb/uSMXTTPSiI+TYZVK","Hagen","Nimmer","3","58091","iERqTYfGA/hfhzsVZoXTPQmWUxovrMqkQzvHtUX","KSA","Standard nach Anzahl Stromzähler"
"mpYujEVYVsYBsZAnooUIxTvBfXJDCQkSBsvukRw","EsYsH+yhAFyJOMpLWYvQl/mDRQggbsQCKMbnpEl","J09D3012","J09D_J","fnNlWSoAYWGwCQkSXhNlTqXORXMISbMbIVlaySc","Hagen","Hohenlimburg","14","58119","aVQIKfRgZQTjVZlWEvsUNf/dqZMVqSrnjmmYhJI","EVU","Standard nach Anzahl Stromzähler"
"ZPmHhPSdxvYDQcY+QRJTFZiMUnLRxLv+cNTxJgP","Rgh/QZrtWSVWaiZRSjkqfqHxGKcYxDfSAhDtPQA","J09D3301","J09D_J","wftAZTiGnBKZYnRyCVHTFlkZbZBXYZgBUVPVZfu","Hagen","Garenfeld","40","58099","LXDLUlQDshxv+JWVRWQEldihTrnZSdNTNIdyZ+t","EVU","Standard nach Anzahl Stromzähler"
"/xFPLoZmGzeYQNAnSXtydUcFuDKOyPFVCPXNMRs","aWdErNVoXXOleYDHSQFOx/DJuhXAYrUClQvjzxg","J09D7021","J09D","YpLeWRoYZSQUJKhFxYALIdJfVsCHquSFUd/cShX","Herdecke","Ende","146","58313","MgybFFAxKTObOggkDzcKaWQvonRKt+dxDptbZtF","EVU","Standard nach Anzahl Stromzähler"
"bxUaKZQ/pynQQ+dNrqlQsBSJnjEUDcYixSUYVVy","BmKIb+IdSoiwRVxSBXrKpgZLZsuVDTsoEOys/hf","J09D4011","J09D_L","ZUCBekSEfuhxgMISknlqPE+mSSCEsYVUUWXXiAw","Lüdenscheid",,"99","58513","NnVuBXZSGhtPQjXHOKQqLHzQta+apSVQBHziqMU","KSA","Standard nach Anzahl Stromzähler"
"GYNZfiWwgTOgCSQGaTICKBioCxCBqEVVlewSRdR","f/QymcXYUgnnAlRXfwkJH/PWmxLRERVSHXdOVlW","J09D5474","J09D","bIwsFURzUwDjKaEqnXVMkSeinQVSZRTDJQQSDPH","Halver","Oberbrügge","6","58553","ez+pXIeKoqEUlUlgFmVRKRjwrBIlRXXSKbT+Xqq","EVU","Standard nach Anzahl Stromzähler"
"qJzWXWYZjVNYjfScuJSd+VlbcGgxjAbSsTYydRP","SVRTSDLMVpQiWXCjuUUUTeWQVZdDVeUgsPhmUKM","J09D4011","J09D_L","mnbqs/uvoUJbnEAZTUrnZfahLV+gpywXqvsvPpE","Lüdenscheid","Augustenthal","1","58513","XRDxDklUSpOtoloAqIs/FlZW/xHqUwbSTKWrWOk","KSA","Standard nach Anzahl Stromzähler"
"peyoZGZC+VJeUeZHIbziTXjXZrlRomJhJUWChew","WTYsLJjkmBSRBP+laTeytehBYRjTXPYVBnGNMiW","J09D6244","J09D","SHTVSqVXrTSzWnxGKhbBmmybXrxtEsHQvYYqxsd","Plettenberg","Holthausen","15","58840","zhmVGJxyiF+gEXQGKgoIkSwB/+BBwrLGHaAWsVX","KSA","Standard nach Anzahl Stromzähler"
"ODiaYgFZ/VXWxLfnZKTJBmzXdJftxLzMDHVYoB/","zUZVPVswdBbQTRIRrbceiMsjTDGTCSxPBTWQHto","J09D3011","J09D_J","TQsXVkRhWINSXwwN/sNIsqcOrIEZMAloKZCZeqf","Hagen","Hohenlimburg","40","58119","ZSysVMgTowZQkZftfd+JsrvoAQZuUNVuWaYGUOY","EVU","Standard nach Anzahl Stromzähler"
"RhnOwWxZTpHSlWAaIzmrJHdPehxhsUTTNNMWKov","mT+gTgrkeCybHSVwVVrRZUOtRbqUDQRhqLONnZg","J09D3012","J09D_J","XDrSWiSSSPPGsWtEYlntpRrNS/BLSKZVrQIZERz","Hagen","Hohenlimburg","47","58119","TQxQ+bNXDUyueZwQQjgZsZ+KlsfxdZdpQVtGVKn","EVU","Standard nach Anzahl Stromzähler"
"kXOllC+AiHrfrZSiXryilrxzgLFSYXcaTshCoQX","RjQOsVZawYTTkaweoOYXitMxVXddDFRDg+vmrYB","J09D3301","J09D_J","UJjKVZL/oBcVVhsOgzdZWVTurmRAxoLYBsQuYmV","Hagen","Garenfeld","9","58099","WWqBmPOWvrRFPJLSlqWnTPZjUXedmGURXVbLZBI","EVU","Standard nach Anzahl Stromzähler"
