HAUS,ANLAGE,ABLEINH,TOUR,ME_MA_ID,CITY1,CITY2,HOUSE_NUM1,POST_CODE1,EQUNR,ENTSCHEIDUNG,REGEL
"TZeGFakzZBIizkUKfWpifBhiJgXKRqXCuCVfRdh","NVKOqYXtWUVxLVdQj+xuuWRYdlWLPbsPpUSoNfE","J09A6105","J09A","Gg+qTEm/yXyxkroRXXarkTNGRNwbwRTAWICLwTr","Neuenrade","Neuenrade","3","58809","qPrSnWXgYoJyXCBEMSOTANZ/DXSIojAKOyMHRNN","KSA","Standard nach Anzahl Stromzähler"
"TIGuySsZXnmZSxKSQfhVxspYRVScaMugpehSmqZ","LevWEZjGQELhfUif+ZDBPpzmSpP+GISTnItXxRi","J09A5014","J09A","sUasnVNXCxMVDtPkFQpGDZylOYmZcdTBWWeEiWw","Altena","Altena","8","58762","Yfc+VTITwZ/evURC/SOcSQVl+dkVuksRtnTFkUo","KSA","Standard nach Anzahl Stromzähler"
"GvUoZgIWUwTtoIvsXhUakFgwWEuzbWVBcDGJOXM","zWKtRWQZNAfSQyWHFUTHhXz/CMsrKqUiaOfiJRU","J09A6102","J09A","QZsRRazOHKYFWvhWkr/LFQBTWgFF/l++xepDVhm","Neuenrade","Neuenrade","18","58809","FYQQHUdtukETjCpKzGOPBpGAaGlK/yAVrEpqdFx","EVU","Standard nach Anzahl Stromzähler"
"'+SGQ+JQQzgCCR+YefqKxMYhAXSevEYrzzIwDQQK","gTYRIWrWKbLJxfVrkxQWSerYaNcpmrZbVQgYSHw","J09A1703","J09A_J","APTXloOqTLLWxSxtJXpIRSR+ROnBYKW+ONXHTSq","Hagen","Vorhalle","4","58089","YRkgTWRhvXRsrnjTbHVZRBcOar/SYutgVhKwoQW","KSA","Standard nach Anzahl Stromzähler"
"yqgDWXLeYEfVSfarLqSxSCGuljuMaaUSbnGoAUT","XZS+nOJMRSuZEaTdXaFXYDvrveYOTjzITFcTuGE","J09A5012","J09A","USZWYTJQTgfzLcUXCKauWSnQdGmKUEAbSFTYmOB","Altena","Altena","145","58762","nxHewXSabU+LtTegVQBHWZJFTSIkvJOdaIvlXKv","EVU","Standard nach Anzahl Stromzähler"
"RaZvYRnKBQRYk/hHcBtmRXHlVibVZcQYCBtWyQv","OTwNUjfcm/gRRYjRMWxRVUZOTuZGWUyKXHacRze","J09A4011","J09A_L","krhTdTgjSBRWRrTZhkVOEOWXowhZZUSsVHfaHbm","Lüdenscheid",,"15","58513","wQQaVweyVIfhGPBx/ZuJkL+WENpU/YpsToDWSUY","KSA","Standard nach Anzahl Stromzähler"
"ZwZYKWMgbPYzWgZuSJssCqyiOfYPQ/wUSRQTQUN","eTlVXPbE/SjvXYIsidmTUQwoeKAS/fMNbJTVjmJ","J09A1702","J09A_J","aSWRZPfWtVBEdNDQZeT/b/VgwvenOAXAenWdRAn","Hagen","Vorhalle","48","58089","kWckakXkfJZmoSidQbvZhXhqrWyYRadQpIXxxnI","EVU","Standard nach Anzahl Stromzähler"
"VCczyAyZyTFDilSFVqVYCSxqpTDZVAAUJBWQRUz","EpSRtWjSXuZZgs+qHWRCSpjnyUDeUCwAXXXQTak","J09A1703","J09A_J","ESqxsqwDGQAZqYWegSQflYhllpFqwUsslJVRvHP","Hagen","Vorhalle","7","58089","tRBbpnyorhPBBGUqVTeYRklVvaUk+yThjqBCfPw","EVU","Standard nach Anzahl Stromzähler"
"qbAWYlgWYCSrYQLtbZvmlhAskFquLTCNeXjyhSY","ZUdOlUFnSCKYBfFoRfzCmyibQBINHLiYrUnUZW+","J09A6105","J09A","hvg+XlEYIWVbdZROKTZoWKIgQZSKSSfThNTYRUV","Neuenrade","Neuenrade","14","58809","cQdlxbMupQtMTXGXTgTwEKSIDUDHvXUJYLQHKHs","KSA","Standard nach Anzahl Stromzähler"
"AYhtGjxDVjFZWYpTRoSVLeZEBMGVYCoQbVbWwzT","hMhRcQZwBUSDJNzqpdbyvRPdZhrSQbGFaYPSngn","J09A4011","J09A_L","sUcc/dLOkasNEKZlwBWYJSQubkP+hWUGOWDSCYx","Lüdenscheid",,"25","58515","PcVADVVVvc/SQBkeylBVHaQSLtWmnMAvWVXFEpm","KSA","Standard nach Anzahl Stromzähler"
"jzktPaIgWrEoKkTDgecfIcUVwSFqflkERlNOWKR","NWGnjouJSbJHUreRPRVCUZKnSWemv+lkaEUtFXG","J09A4011","J09A_L","f+mKKvVwQKV+tMjAZBIsXiHMKGWuqASkXRHnRgC","Lüdenscheid","Lüdenscheid","28","58507","'+llvKaYVBWiIgCpDzMiUwJSFHMERcLUZRslLOOH","KSA","Standard nach Anzahl Stromzähler"
"ZwZYKWMgbPYzWgZuSJssCqyiOfYPQ/wUSRQTQUN","bE+WKUV/TcTmBZozSXrRTnuAKZVyRGzSgQdYZQT","J09A1702","J09A_J","'+YEIpUAytpUMQGvZCnPHdNgISSITidvSRKxUUfz","Hagen","Vorhalle","48","58089","kJxaam/SLAjlfbrEDXFUBIVCtIUbnVVSZKZqVpU","EVU","Standard nach Anzahl Stromzähler"
"cRUJYVJRqUYavWmKmxLpVVYXFhVWkU/UNwyaBLk","ESWZjCDSpjolxbByxgPGGASTaFFsTwacarPfgYl","J09A5013","J09A","WytQyDQIEcHoBHAsVnzXiMjpkSVUFTINRruOCPy","Altena","Altena","3","58762","TQtrNvTQmjvrUYffuS/BLrP/UvkzJN+zwPJSTXZ","KSA","Standard nach Anzahl Stromzähler"
"aQt+UVAXIPNYIpOMPDpT+B/DIQGpbeGjLeIQhRh","/RNeJBIAdINTLnXXVwQkGWSknIBbQRrAzmRvcIU","J09A5015","J09A","EvpNiKZnXOZCfjodrTYsJWliLeQvIALURoByDPl","Altena","Altena","60","58762","LlAARJQzVFwWanudijZtQhLGieYxlmKhJIIkgZu","EVU","Standard nach Anzahl Stromzähler"
"Jm/BlnNcUxVSILVcW+mWLsWqQWxQW+GwUqBxUXG","nWnIhmtyVeJSYugUdWWcTTaUnXSY/FDVjBTJRZj","J09A6102","J09A","RVdTkpjRRzTiQQqqkmJLMoCntRjcSCEdg+xlErF","Neuenrade","Neuenrade","32","58809","ICatRPMzdTxeyvG+TQlzTgsxEobjAeSHqWfTzmN","EVU","Standard nach Anzahl Stromzähler"
"GunWTtdEYclTSOEPtscZWWUkqguYyYdsATrziei","/MRAkUToMBSVYQpRJBPDUCJsJqCXSWes/hcTXCn","J09A5402","J09A","jfqxybTZchfXRMXmlQB/XRrx/cUHFFZDBNVZXXI","Halver","Halver","6","58553","EvoUPoIoAWfexPlkmcjRXbVjXLbTNTdXRcw+wbs","KSA","Standard nach Anzahl Stromzähler"
"sUYdZBrYDwsZEQa+gwQEWXxvwLtkNNWCcIXMKUS","cmLZ/POUWllXqSEP+tVcSdYZAQNQTQPmWuQFThP","J09A1704","J09A_J","TmPVagZSQTAgDAYBFNjZpCEqkAmxdSVebSSTIJF","Hagen","Vorhalle","32","58089","WsTExqXtYJWWBgcanW+YMfXSyQWJeeeaIoPN+gi","EVU","Standard nach Anzahl Stromzähler"
"GKanyUIZATI+ZQAZHhYyGVnWChqxDJVUSmyTJDi","yB+nkeq/WPz/fSbfUHSQUKyvNmWGmAjHQokXVRj","J09A4011","J09A_L","YiaJQARWkiBkWhuGsWXPVZidzdrRAMWa+pzTZHS","Lüdenscheid",,"26","58515","lfSRVFKUhXwrYxCeuzVDTMNvqHdCSltqgrSeduW","KSA","Standard nach Anzahl Stromzähler"
"wigqXUBQQUTCWoWZCCYZxRyfEWFbFePmlQEIDlt","sEyko/f+RYMDaVcRDCLQUEL+zpQneGQirZyEAnK","J09A5402","J09A","MXUfSSBnYAqySGcQZwtSTYuxcxVxgQZuCKZTZmI","Halver","Halver","5","58553","DyVjkaQkq+zulMKoLHQchTSg+XYKBkUQQUUhdIh","EVU","Standard nach Anzahl Stromzähler"
"ZsGkCMiFAUTyLrESJdO/F+gtyZhvga+nqShvdVv","gTiYqGZScZQQFjQpOSXSyrFV+QtYEOpdAzdX+pD","J09A1703","J09A_J","BVMUVTcUWWMyO+GEjqUSZapRuwZ+AxkwquDeSCw","Hagen","Vorhalle","7","58089","yIbwHLlmcFZ/YdqQtpJJVzyEVZvUdTaySGhlZZd","EVU","Standard nach Anzahl Stromzähler"
"pZCZAscJYCCDstjFsCnleTtfyZpVztKgEdnVSPj","GLrrINsVTqATCuubzptkdwSTTqUnJEYeRTCZpLY","J09A6101","J09A","USaFUzoTHviVRSsTLYsihlGsvaYwOSgTlDNnIGh","Neuenrade","Neuenrade","36","58809","KgSPGFVkoWOBRrSVBHiXDVrQLtNvSUbmPLOYQdQ","EVU","Standard nach Anzahl Stromzähler"
